ID;TIPO GEOMETRIA;AÑO;CAUSA;AREA_Ha;OBSERVACION;LATITUD;LONGITUD;MUNICIPIO
5376;Polygon;2014;Mineria;9,04949;Ninguna;5' 25' 18,562' N;76' 17' 11,316' W;BAGADO
5439;Polygon;2014;Mineria;10,00993;Ninguna;5' 23' 49,375' N;76' 18' 5,299' W;BAGADO
5076;Polygon;2015;Mineria;10,50343;Ninguna;5' 23' 42,467' N;76' 24' 9,097' W;BAGADO
5393;Polygon;2014;Mineria;11,53263;Ninguna;5' 24' 54,489' N;76' 24' 51,678' W;BAGADO
5422;Polygon;2014;Mineria;14,58785;Ninguna;5' 24' 27,226' N;76' 17' 53,304' W;BAGADO
5436;Polygon;2014;Mineria;24,76284;Ninguna;5' 23' 53,458' N;76' 20' 44,192' W;BAGADO
5406;Polygon;2014;Mineria;31,01760;Ninguna;5' 24' 34,107' N;76' 23' 27,677' W;BAGADO
5407;Polygon;2014;Mineria;43,64940;Ninguna;5' 24' 34,410' N;76' 24' 36,785' W;BAGADO
8009;Polygon;2020;Cultivo;0,11251;Ninguna;6' 12' 32,654' N;77' 22' 48,522' W;BAHIA SOLANO
8002;Polygon;2020;Cultivo;0,17446;Ninguna;6' 3' 45,401' N;77' 19' 32,047' W;BAHIA SOLANO
8001;Polygon;2020;Cultivo;0,18337;Ninguna;6' 3' 43,846' N;77' 19' 30,040' W;BAHIA SOLANO
8008;Polygon;2020;Cultivo;0,19445;Ninguna;6' 12' 33,547' N;77' 22' 45,494' W;BAHIA SOLANO
4341;Polygon;2019;Cultivo;0,23678;Ninguna;6' 43' 9,170' N;77' 27' 9,841' W;BAHIA SOLANO
8011;Polygon;2020;Cultivo;0,24261;Ninguna;6' 12' 32,189' N;77' 22' 57,859' W;BAHIA SOLANO
638;Polygon;2014;Desconocida;0,27203;Ninguna;6' 7' 59,696' N;77' 19' 29,738' W;BAHIA SOLANO
653;Polygon;2014;Cultivo;0,28287;Ninguna;6' 14' 36,132' N;77' 27' 1,737' W;BAHIA SOLANO
654;Polygon;2014;Cultivo;0,31162;Ninguna;6' 13' 50,157' N;77' 26' 32,648' W;BAHIA SOLANO
